Model,Accuracy (%),Precision,Recall,F1-Score,AUC-ROC,Parameters,Size (MB)
Teacher Ensemble,98.66,0.9866,0.9866,0.9866,0.9985,"435,012,363",1659.4
Lightweight Student,97.59,0.9760,0.9759,0.9759,0.9958,"1,464,530",5.6
